Term,Institution Sector,Total Enrollment,Ethnicity,Enrollment
Fall 2012,Community Colleges,243007,Native Hawaiian or Other Pacific Islander,402
Fall 2012,Comprehensive Colleges,90908,Native Hawaiian or Other Pacific Islander,122
Fall 2012,Doctoral Degree Granting Institutions,102205,Native Hawaiian or Other Pacific Islander,110
Fall 2012,Technology Colleges,25696,Native Hawaiian or Other Pacific Islander,53
Fall 2011,Community Colleges,247667,Native Hawaiian or Other Pacific Islander,363
Fall 2011,Comprehensive Colleges,92783,Native Hawaiian or Other Pacific Islander,88
Fall 2011,Doctoral Degree Granting Institutions,101664,Native Hawaiian or Other Pacific Islander,100
Fall 2011,Technology Colleges,25892,Native Hawaiian or Other Pacific Islander,50
Fall 2010,Community Colleges,249343,Native Hawaiian or Other Pacific Islander,320
Fall 2010,Comprehensive Colleges,93204,Native Hawaiian or Other Pacific Islander,74
Fall 2010,Doctoral Degree Granting Institutions,100457,Native Hawaiian or Other Pacific Islander,83
Fall 2010,Technology Colleges,28180,Native Hawaiian or Other Pacific Islander,45
Fall 2009,Community Colleges,239243,Native Hawaiian or Other Pacific Islander,87
Fall 2009,Comprehensive Colleges,94024,Native Hawaiian or Other Pacific Islander,32
Fall 2009,Doctoral Degree Granting Institutions,100402,Native Hawaiian or Other Pacific Islander,7
Fall 2009,Technology Colleges,27778,Native Hawaiian or Other Pacific Islander,0
Fall 2008,Community Colleges,220995,Native Hawaiian or Other Pacific Islander,3
Fall 2008,Comprehensive Colleges,92825,Native Hawaiian or Other Pacific Islander,0
Fall 2008,Doctoral Degree Granting Institutions,99162,Native Hawaiian or Other Pacific Islander,0
Fall 2008,Technology Colleges,26541,Native Hawaiian or Other Pacific Islander,0
Fall 2007,Community Colleges,214129,Native Hawaiian or Other Pacific Islander,0
Fall 2007,Comprehensive Colleges,90894,Native Hawaiian or Other Pacific Islander,0
Fall 2007,Doctoral Degree Granting Institutions,96945,Native Hawaiian or Other Pacific Islander,0
Fall 2007,Technology Colleges,25430,Native Hawaiian or Other Pacific Islander,0
Fall 2006,Community Colleges,209059,Native Hawaiian or Other Pacific Islander,0
Fall 2006,Comprehensive Colleges,89059,Native Hawaiian or Other Pacific Islander,0
Fall 2006,Doctoral Degree Granting Institutions,95136,Native Hawaiian or Other Pacific Islander,0
Fall 2006,Technology Colleges,24321,Native Hawaiian or Other Pacific Islander,0
Fall 2005,Community Colleges,208370,Native Hawaiian or Other Pacific Islander,0
Fall 2005,Comprehensive Colleges,87171,Native Hawaiian or Other Pacific Islander,0
Fall 2005,Doctoral Degree Granting Institutions,94198,Native Hawaiian or Other Pacific Islander,0
Fall 2005,Technology Colleges,24426,Native Hawaiian or Other Pacific Islander,0
Fall 2004,Community Colleges,209646,Native Hawaiian or Other Pacific Islander,0
Fall 2004,Comprehensive Colleges,86808,Native Hawaiian or Other Pacific Islander,0
Fall 2004,Doctoral Degree Granting Institutions,92737,Native Hawaiian or Other Pacific Islander,0
Fall 2004,Technology Colleges,24381,Native Hawaiian or Other Pacific Islander,0
Fall 2003,Community Colleges,204487,Native Hawaiian or Other Pacific Islander,0
Fall 2003,Comprehensive Colleges,87543,Native Hawaiian or Other Pacific Islander,0
Fall 2003,Doctoral Degree Granting Institutions,94041,Native Hawaiian or Other Pacific Islander,0
Fall 2003,Technology Colleges,23809,Native Hawaiian or Other Pacific Islander,0
Fall 2002,Community Colleges,198522,Native Hawaiian or Other Pacific Islander,0
Fall 2002,Comprehensive Colleges,88899,Native Hawaiian or Other Pacific Islander,0
Fall 2002,Doctoral Degree Granting Institutions,92295,Native Hawaiian or Other Pacific Islander,0
Fall 2002,Technology Colleges,23223,Native Hawaiian or Other Pacific Islander,0
Fall 2020,Doctoral Degree Granting Institutions,113127,Native Hawaiian or Other Pacific Islander,70
Fall 2020,Comprehensive Colleges,81181,Native Hawaiian or Other Pacific Islander,79
Fall 2020,Technology Colleges,25982,Native Hawaiian or Other Pacific Islander,28
Fall 2020,Community Colleges,173929,Native Hawaiian or Other Pacific Islander,195
Fall 2021,Doctoral Degree Granting Institutions,112239,Native Hawaiian or Other Pacific Islander,60
Fall 2021,Comprehensive Colleges,73882,Native Hawaiian or Other Pacific Islander,65
Fall 2021,Technology Colleges,23477,Native Hawaiian or Other Pacific Islander,23
Fall 2021,Community Colleges,160516,Native Hawaiian or Other Pacific Islander,210
Fall 2022,Doctoral Degree Granting Institutions,110941,Native Hawaiian or Other Pacific Islander,54
Fall 2022,Comprehensive Colleges,70297,Native Hawaiian or Other Pacific Islander,63
Fall 2022,Technology Colleges,23041,Native Hawaiian or Other Pacific Islander,27
Fall 2022,Community Colleges,159333,Native Hawaiian or Other Pacific Islander,237
Fall 2023,Doctoral Degree Granting Institutions,111057,Native Hawaiian or Other Pacific Islander,75
Fall 2023,Comprehensive Colleges,70644,Native Hawaiian or Other Pacific Islander,65
Fall 2023,Technology Colleges,23612,Native Hawaiian or Other Pacific Islander,33
Fall 2023,Community Colleges,162225,Native Hawaiian or Other Pacific Islander,204
Fall 2019,Community Colleges,192959,Non-resident Alien,2607
Fall 2019,Comprehensive Colleges,83674,Non-resident Alien,1635
Fall 2019,Doctoral Degree Granting Institutions,112265,Non-resident Alien,16138
Fall 2019,Technology Colleges,26674,Non-resident Alien,351
Fall 2018,Community Colleges,199873,Non-resident Alien,2670
Fall 2018,Comprehensive Colleges,85613,Non-resident Alien,1675
Fall 2018,Doctoral Degree Granting Institutions,111299,Non-resident Alien,16524
Fall 2018,Technology Colleges,27266,Non-resident Alien,416
Fall 2017,Community Colleges,209418,Non-resident Alien,2846
Fall 2017,Comprehensive Colleges,86301,Non-resident Alien,1841
Fall 2017,Doctoral Degree Granting Institutions,109030,Non-resident Alien,16850
Fall 2017,Technology Colleges,27106,Non-resident Alien,441
Fall 2016,Community Colleges,216277,Non-resident Alien,3099
Fall 2016,Comprehensive Colleges,85633,Non-resident Alien,1908
Fall 2016,Doctoral Degree Granting Institutions,107422,Non-resident Alien,16767
Fall 2016,Technology Colleges,26806,Non-resident Alien,443
Fall 2015,Community Colleges,222998,Non-resident Alien,3284
Fall 2015,Comprehensive Colleges,87764,Non-resident Alien,2365
Fall 2015,Doctoral Degree Granting Institutions,105998,Non-resident Alien,16687
Fall 2015,Technology Colleges,26180,Non-resident Alien,545
Fall 2014,Community Colleges,233812,Non-resident Alien,3174
Fall 2014,Comprehensive Colleges,89442,Non-resident Alien,2823
Fall 2014,Doctoral Degree Granting Institutions,105408,Non-resident Alien,16560
Fall 2014,Technology Colleges,26177,Non-resident Alien,517
Fall 2013,Community Colleges,239791,Non-resident Alien,3351
Fall 2013,Comprehensive Colleges,89701,Non-resident Alien,2493
Fall 2013,Doctoral Degree Granting Institutions,104285,Non-resident Alien,15682
Fall 2013,Technology Colleges,25773,Non-resident Alien,504
Fall 2012,Community Colleges,243007,Non-resident Alien,3296
Fall 2012,Comprehensive Colleges,90908,Non-resident Alien,2610
Fall 2012,Doctoral Degree Granting Institutions,102205,Non-resident Alien,14294
Fall 2012,Technology Colleges,25696,Non-resident Alien,634
Fall 2011,Community Colleges,247667,Non-resident Alien,3419
Fall 2011,Comprehensive Colleges,92783,Non-resident Alien,2072
Fall 2011,Doctoral Degree Granting Institutions,101664,Non-resident Alien,13240
Fall 2011,Technology Colleges,25892,Non-resident Alien,677
Fall 2010,Community Colleges,249343,Non-resident Alien,3258
Fall 2010,Comprehensive Colleges,93204,Non-resident Alien,2182
Fall 2010,Doctoral Degree Granting Institutions,100457,Non-resident Alien,13029
Fall 2010,Technology Colleges,28180,Non-resident Alien,930
Fall 2009,Community Colleges,239243,Non-resident Alien,3347
Fall 2009,Comprehensive Colleges,94024,Non-resident Alien,2550
Fall 2009,Doctoral Degree Granting Institutions,100402,Non-resident Alien,12060
Fall 2009,Technology Colleges,27778,Non-resident Alien,815
Fall 2008,Community Colleges,220995,Non-resident Alien,3190
Fall 2008,Comprehensive Colleges,92825,Non-resident Alien,2738
Fall 2008,Doctoral Degree Granting Institutions,99162,Non-resident Alien,11379
Fall 2008,Technology Colleges,26541,Non-resident Alien,844
Fall 2007,Community Colleges,214129,Non-resident Alien,3574
Fall 2007,Comprehensive Colleges,90894,Non-resident Alien,2755
Fall 2007,Doctoral Degree Granting Institutions,96945,Non-resident Alien,10572
Fall 2007,Technology Colleges,25430,Non-resident Alien,809
Fall 2006,Community Colleges,209059,Non-resident Alien,3486
Fall 2006,Comprehensive Colleges,89059,Non-resident Alien,2690
Fall 2006,Doctoral Degree Granting Institutions,95136,Non-resident Alien,9684
Fall 2006,Technology Colleges,24321,Non-resident Alien,514
Fall 2005,Community Colleges,208370,Non-resident Alien,3419
Fall 2005,Comprehensive Colleges,87171,Non-resident Alien,2509
Fall 2005,Doctoral Degree Granting Institutions,94198,Non-resident Alien,9050
Fall 2005,Technology Colleges,24426,Non-resident Alien,493
Fall 2004,Community Colleges,209646,Non-resident Alien,3597
Fall 2004,Comprehensive Colleges,86808,Non-resident Alien,2268
Fall 2004,Doctoral Degree Granting Institutions,92737,Non-resident Alien,8513
Fall 2004,Technology Colleges,24381,Non-resident Alien,533
Fall 2003,Community Colleges,204487,Non-resident Alien,3735
Fall 2003,Comprehensive Colleges,87543,Non-resident Alien,2153
Fall 2003,Doctoral Degree Granting Institutions,94041,Non-resident Alien,8590
Fall 2003,Technology Colleges,23809,Non-resident Alien,550
Fall 2002,Community Colleges,198522,Non-resident Alien,4119
Fall 2002,Comprehensive Colleges,88899,Non-resident Alien,1867
Fall 2002,Doctoral Degree Granting Institutions,92295,Non-resident Alien,8464
Fall 2002,Technology Colleges,23223,Non-resident Alien,513
Fall 2020,Doctoral Degree Granting Institutions,113127,Non-resident Alien,13923
Fall 2020,Comprehensive Colleges,81181,Non-resident Alien,1374
Fall 2020,Technology Colleges,25982,Non-resident Alien,325
Fall 2020,Community Colleges,173929,Non-resident Alien,1924
Fall 2021,Doctoral Degree Granting Institutions,112239,Non-resident Alien,14201
Fall 2021,Comprehensive Colleges,73882,Non-resident Alien,1227
Fall 2021,Technology Colleges,23477,Non-resident Alien,318
Fall 2021,Community Colleges,160516,Non-resident Alien,1925
Fall 2022,Doctoral Degree Granting Institutions,110941,Non-resident Alien,15612
Fall 2022,Comprehensive Colleges,70297,Non-resident Alien,1300
Fall 2022,Technology Colleges,23041,Non-resident Alien,371
Fall 2022,Community Colleges,159333,Non-resident Alien,2212
Fall 2023,Doctoral Degree Granting Institutions,111057,Non-resident Alien,15952
Fall 2023,Comprehensive Colleges,70644,Non-resident Alien,1425
Fall 2023,Technology Colleges,23612,Non-resident Alien,393
Fall 2023,Community Colleges,162225,Non-resident Alien,2548
Fall 2019,Community Colleges,192959,Two or More Races,5243
Fall 2019,Comprehensive Colleges,83674,Two or More Races,2293
Fall 2019,Doctoral Degree Granting Institutions,112265,Two or More Races,2913
Fall 2019,Technology Colleges,26674,Two or More Races,726
Fall 2018,Community Colleges,199873,Two or More Races,5393
Fall 2018,Comprehensive Colleges,85613,Two or More Races,2275
Fall 2018,Doctoral Degree Granting Institutions,111299,Two or More Races,2747
Fall 2018,Technology Colleges,27266,Two or More Races,705
Fall 2017,Community Colleges,209418,Two or More Races,5227
Fall 2017,Comprehensive Colleges,86301,Two or More Races,2287
Fall 2017,Doctoral Degree Granting Institutions,109030,Two or More Races,2556
Fall 2017,Technology Colleges,27106,Two or More Races,656
Fall 2016,Community Colleges,216277,Two or More Races,4922
Fall 2016,Comprehensive Colleges,85633,Two or More Races,2186
Fall 2016,Doctoral Degree Granting Institutions,107422,Two or More Races,2428
Fall 2016,Technology Colleges,26806,Two or More Races,609
Fall 2015,Community Colleges,222998,Two or More Races,4621
Fall 2015,Comprehensive Colleges,87764,Two or More Races,2118
Fall 2015,Doctoral Degree Granting Institutions,105998,Two or More Races,2346
Fall 2015,Technology Colleges,26180,Two or More Races,569
Fall 2014,Community Colleges,233812,Two or More Races,4658
Fall 2014,Comprehensive Colleges,89442,Two or More Races,2064
Fall 2014,Doctoral Degree Granting Institutions,105408,Two or More Races,2208
Fall 2014,Technology Colleges,26177,Two or More Races,517
Fall 2013,Community Colleges,239791,Two or More Races,3690
Fall 2013,Comprehensive Colleges,89701,Two or More Races,1584
Fall 2013,Doctoral Degree Granting Institutions,104285,Two or More Races,1580
Fall 2013,Technology Colleges,25773,Two or More Races,418
Fall 2012,Community Colleges,243007,Two or More Races,3785
Fall 2012,Comprehensive Colleges,90908,Two or More Races,1797
Fall 2012,Doctoral Degree Granting Institutions,102205,Two or More Races,1381
Fall 2012,Technology Colleges,25696,Two or More Races,429
Fall 2011,Community Colleges,247667,Two or More Races,3133
Fall 2011,Comprehensive Colleges,92783,Two or More Races,1454
Fall 2011,Doctoral Degree Granting Institutions,101664,Two or More Races,860
Fall 2011,Technology Colleges,25892,Two or More Races,386
Fall 2010,Community Colleges,249343,Two or More Races,2252
Fall 2010,Comprehensive Colleges,93204,Two or More Races,984
Fall 2010,Doctoral Degree Granting Institutions,100457,Two or More Races,527
Fall 2010,Technology Colleges,28180,Two or More Races,373
Fall 2009,Community Colleges,239243,Two or More Races,1574
Fall 2009,Comprehensive Colleges,94024,Two or More Races,362
Fall 2009,Doctoral Degree Granting Institutions,100402,Two or More Races,28
Fall 2009,Technology Colleges,27778,Two or More Races,15
Fall 2008,Community Colleges,220995,Two or More Races,0
Fall 2008,Comprehensive Colleges,92825,Two or More Races,0
Fall 2008,Doctoral Degree Granting Institutions,99162,Two or More Races,1
Fall 2008,Technology Colleges,26541,Two or More Races,0
Fall 2007,Community Colleges,214129,Two or More Races,0
Fall 2007,Comprehensive Colleges,90894,Two or More Races,0
Fall 2007,Doctoral Degree Granting Institutions,96945,Two or More Races,0
Fall 2007,Technology Colleges,25430,Two or More Races,0
Fall 2006,Community Colleges,209059,Two or More Races,0
Fall 2006,Comprehensive Colleges,89059,Two or More Races,0
Fall 2006,Doctoral Degree Granting Institutions,95136,Two or More Races,0
Fall 2006,Technology Colleges,24321,Two or More Races,0
Fall 2005,Community Colleges,208370,Two or More Races,0
Fall 2005,Comprehensive Colleges,87171,Two or More Races,0
Fall 2005,Doctoral Degree Granting Institutions,94198,Two or More Races,0
Fall 2005,Technology Colleges,24426,Two or More Races,0
Fall 2004,Community Colleges,209646,Two or More Races,0
Fall 2004,Comprehensive Colleges,86808,Two or More Races,0
Fall 2004,Doctoral Degree Granting Institutions,92737,Two or More Races,0
Fall 2004,Technology Colleges,24381,Two or More Races,0
Fall 2003,Community Colleges,204487,Two or More Races,0
Fall 2003,Comprehensive Colleges,87543,Two or More Races,0
Fall 2003,Doctoral Degree Granting Institutions,94041,Two or More Races,0
Fall 2003,Technology Colleges,23809,Two or More Races,0
Fall 2002,Community Colleges,198522,Two or More Races,0
Fall 2002,Comprehensive Colleges,88899,Two or More Races,0
Fall 2002,Doctoral Degree Granting Institutions,92295,Two or More Races,0
Fall 2002,Technology Colleges,23223,Two or More Races,0
Fall 2020,Doctoral Degree Granting Institutions,113127,Two or More Races,3290
Fall 2020,Comprehensive Colleges,81181,Two or More Races,2273
Fall 2020,Technology Colleges,25982,Two or More Races,684
Fall 2020,Community Colleges,173929,Two or More Races,4512
Fall 2021,Doctoral Degree Granting Institutions,112239,Two or More Races,3197
Fall 2021,Comprehensive Colleges,73882,Two or More Races,2080
Fall 2021,Technology Colleges,23477,Two or More Races,674
Fall 2021,Community Colleges,160516,Two or More Races,4741
Fall 2022,Doctoral Degree Granting Institutions,110941,Two or More Races,3422
Fall 2022,Comprehensive Colleges,70297,Two or More Races,2041
Fall 2022,Technology Colleges,23041,Two or More Races,725
Fall 2022,Community Colleges,159333,Two or More Races,4734
Fall 2023,Doctoral Degree Granting Institutions,111057,Two or More Races,3632
Fall 2023,Comprehensive Colleges,70644,Two or More Races,2069
Fall 2023,Technology Colleges,23612,Two or More Races,843
Fall 2023,Community Colleges,162225,Two or More Races,5092
Fall 2019,Community Colleges,192959,Unknown,12317
Fall 2019,Comprehensive Colleges,83674,Unknown,2762
Fall 2019,Doctoral Degree Granting Institutions,112265,Unknown,5009
Fall 2019,Technology Colleges,26674,Unknown,591
Fall 2018,Community Colleges,199873,Unknown,11603
Fall 2018,Comprehensive Colleges,85613,Unknown,2599
Fall 2018,Doctoral Degree Granting Institutions,111299,Unknown,4989
Fall 2018,Technology Colleges,27266,Unknown,638
Fall 2017,Community Colleges,209418,Unknown,14553
Fall 2017,Comprehensive Colleges,86301,Unknown,2318
Fall 2017,Doctoral Degree Granting Institutions,109030,Unknown,5056
Fall 2017,Technology Colleges,27106,Unknown,604
Fall 2016,Community Colleges,216277,Unknown,16387
Fall 2016,Comprehensive Colleges,85633,Unknown,2842
Fall 2016,Doctoral Degree Granting Institutions,107422,Unknown,5459
Fall 2016,Technology Colleges,26806,Unknown,444
Fall 2015,Community Colleges,222998,Unknown,19351
Fall 2015,Comprehensive Colleges,87764,Unknown,3087
Fall 2015,Doctoral Degree Granting Institutions,105998,Unknown,5521
Fall 2015,Technology Colleges,26180,Unknown,494
Fall 2014,Community Colleges,233812,Unknown,18398
Fall 2014,Comprehensive Colleges,89442,Unknown,3571
Fall 2014,Doctoral Degree Granting Institutions,105408,Unknown,5911
Fall 2014,Technology Colleges,26177,Unknown,579
Fall 2013,Community Colleges,239791,Unknown,18282
Fall 2013,Comprehensive Colleges,89701,Unknown,4435
Fall 2013,Doctoral Degree Granting Institutions,104285,Unknown,6685
Fall 2013,Technology Colleges,25773,Unknown,640
Fall 2012,Community Colleges,243007,Unknown,16693
Fall 2012,Comprehensive Colleges,90908,Unknown,5014
Fall 2012,Doctoral Degree Granting Institutions,102205,Unknown,7447
Fall 2012,Technology Colleges,25696,Unknown,801
Fall 2011,Community Colleges,247667,Unknown,20190
Fall 2011,Comprehensive Colleges,92783,Unknown,9754
Fall 2011,Doctoral Degree Granting Institutions,101664,Unknown,8908
Fall 2011,Technology Colleges,25892,Unknown,1559
Fall 2010,Community Colleges,249343,Unknown,18361
Fall 2010,Comprehensive Colleges,93204,Unknown,19105
Fall 2010,Doctoral Degree Granting Institutions,100457,Unknown,11113
Fall 2010,Technology Colleges,28180,Unknown,2153
Fall 2009,Community Colleges,239243,Unknown,25289
Fall 2009,Comprehensive Colleges,94024,Unknown,12597
Fall 2009,Doctoral Degree Granting Institutions,100402,Unknown,12969
Fall 2009,Technology Colleges,27778,Unknown,4237
Fall 2008,Community Colleges,220995,Unknown,17069
Fall 2008,Comprehensive Colleges,92825,Unknown,10861
Fall 2008,Doctoral Degree Granting Institutions,99162,Unknown,13929
Fall 2008,Technology Colleges,26541,Unknown,2125
Fall 2007,Community Colleges,214129,Unknown,19937
Fall 2007,Comprehensive Colleges,90894,Unknown,10577
Fall 2007,Doctoral Degree Granting Institutions,96945,Unknown,13711
Fall 2007,Technology Colleges,25430,Unknown,1995
Fall 2006,Community Colleges,209059,Unknown,19587
Fall 2006,Comprehensive Colleges,89059,Unknown,9516
Fall 2006,Doctoral Degree Granting Institutions,95136,Unknown,12829
Fall 2006,Technology Colleges,24321,Unknown,1826
Fall 2005,Community Colleges,208370,Unknown,16578
Fall 2005,Comprehensive Colleges,87171,Unknown,9048
Fall 2005,Doctoral Degree Granting Institutions,94198,Unknown,12789
Fall 2005,Technology Colleges,24426,Unknown,1589
Fall 2004,Community Colleges,209646,Unknown,13317
Fall 2004,Comprehensive Colleges,86808,Unknown,8380
Fall 2004,Doctoral Degree Granting Institutions,92737,Unknown,11762
Fall 2004,Technology Colleges,24381,Unknown,1513
Fall 2003,Community Colleges,204487,Unknown,12929
Fall 2003,Comprehensive Colleges,87543,Unknown,7685
Fall 2003,Doctoral Degree Granting Institutions,94041,Unknown,11768
Fall 2003,Technology Colleges,23809,Unknown,1334
Fall 2002,Community Colleges,198522,Unknown,10902
Fall 2002,Comprehensive Colleges,88899,Unknown,6987
Fall 2002,Doctoral Degree Granting Institutions,92295,Unknown,11716
Fall 2002,Technology Colleges,23223,Unknown,1182
Fall 2020,Doctoral Degree Granting Institutions,113127,Unknown,5216
Fall 2020,Comprehensive Colleges,81181,Unknown,2622
Fall 2020,Technology Colleges,25982,Unknown,436
Fall 2020,Community Colleges,173929,Unknown,16179
Fall 2021,Doctoral Degree Granting Institutions,112239,Unknown,5054
Fall 2021,Comprehensive Colleges,73882,Unknown,3203
Fall 2021,Technology Colleges,23477,Unknown,413
Fall 2021,Community Colleges,160516,Unknown,12848
Fall 2022,Doctoral Degree Granting Institutions,110941,Unknown,4453
Fall 2022,Comprehensive Colleges,70297,Unknown,2347
Fall 2022,Technology Colleges,23041,Unknown,382
Fall 2022,Community Colleges,159333,Unknown,10736
Fall 2023,Doctoral Degree Granting Institutions,111057,Unknown,4132
Fall 2023,Comprehensive Colleges,70644,Unknown,2404
Fall 2023,Technology Colleges,23612,Unknown,397
Fall 2023,Community Colleges,162225,Unknown,11079
Fall 2019,Community Colleges,192959,White,109000
Fall 2019,Comprehensive Colleges,83674,White,51819
Fall 2019,Doctoral Degree Granting Institutions,112265,White,51837
Fall 2019,Technology Colleges,26674,White,16050
Fall 2018,Community Colleges,199873,White,115352
Fall 2018,Comprehensive Colleges,85613,White,53566
Fall 2018,Doctoral Degree Granting Institutions,111299,White,51711
Fall 2018,Technology Colleges,27266,White,16700
Fall 2017,Community Colleges,209418,White,120742
Fall 2017,Comprehensive Colleges,86301,White,54882
Fall 2017,Doctoral Degree Granting Institutions,109030,White,51254
Fall 2017,Technology Colleges,27106,White,17039
Fall 2016,Community Colleges,216277,White,126024
Fall 2016,Comprehensive Colleges,85633,White,55296
Fall 2016,Doctoral Degree Granting Institutions,107422,White,51275
Fall 2016,Technology Colleges,26806,White,17370
Fall 2015,Community Colleges,222998,White,130503
Fall 2015,Comprehensive Colleges,87764,White,57806
Fall 2015,Doctoral Degree Granting Institutions,105998,White,51278
Fall 2015,Technology Colleges,26180,White,17280
Fall 2014,Community Colleges,233812,White,142102
Fall 2014,Comprehensive Colleges,89442,White,59755
Fall 2014,Doctoral Degree Granting Institutions,105408,White,51647
Fall 2014,Technology Colleges,26177,White,17541
Fall 2013,Community Colleges,239791,White,149556
Fall 2013,Comprehensive Colleges,89701,White,61881
Fall 2013,Doctoral Degree Granting Institutions,104285,White,51983
Fall 2013,Technology Colleges,25773,White,17502
Fall 2012,Community Colleges,243007,White,155834
Fall 2012,Comprehensive Colleges,90908,White,63668
Fall 2012,Doctoral Degree Granting Institutions,102205,White,52416
Fall 2012,Technology Colleges,25696,White,17505
Fall 2011,Community Colleges,247667,White,160296
Fall 2011,Comprehensive Colleges,92783,White,63383
Fall 2011,Doctoral Degree Granting Institutions,101664,White,52914
Fall 2011,Technology Colleges,25892,White,17291
Fall 2010,Community Colleges,249343,White,167280
Fall 2010,Comprehensive Colleges,93204,White,57991
Fall 2010,Doctoral Degree Granting Institutions,100457,White,52038
Fall 2010,Technology Colleges,28180,White,19128
Fall 2009,Community Colleges,239243,White,155867
Fall 2009,Comprehensive Colleges,94024,White,63829
Fall 2009,Doctoral Degree Granting Institutions,100402,White,52194
Fall 2009,Technology Colleges,27778,White,17971
Fall 2008,Community Colleges,220995,White,151816
Fall 2008,Comprehensive Colleges,92825,White,64829
Fall 2008,Doctoral Degree Granting Institutions,99162,White,51337
Fall 2008,Technology Colleges,26541,White,18787
Fall 2007,Community Colleges,214129,White,145466
Fall 2007,Comprehensive Colleges,90894,White,63886
Fall 2007,Doctoral Degree Granting Institutions,96945,White,50861
Fall 2007,Technology Colleges,25430,White,18232
Fall 2006,Community Colleges,209059,White,142758
Fall 2006,Comprehensive Colleges,89059,White,63740
Fall 2006,Doctoral Degree Granting Institutions,95136,White,51230
Fall 2006,Technology Colleges,24321,White,17808
Fall 2005,Community Colleges,208370,White,146118
Fall 2005,Comprehensive Colleges,87171,White,63554
Fall 2005,Doctoral Degree Granting Institutions,94198,White,51523
Fall 2005,Technology Colleges,24426,White,18144
Fall 2004,Community Colleges,209646,White,151213
Fall 2004,Comprehensive Colleges,86808,White,64591
Fall 2004,Doctoral Degree Granting Institutions,92737,White,51876
Fall 2004,Technology Colleges,24381,White,18198
Fall 2003,Community Colleges,204487,White,148061
Fall 2003,Comprehensive Colleges,87543,White,66356
Fall 2003,Doctoral Degree Granting Institutions,94041,White,53050
Fall 2003,Technology Colleges,23809,White,17841
Fall 2002,Community Colleges,198522,White,145595
Fall 2002,Comprehensive Colleges,88899,White,68727
Fall 2002,Doctoral Degree Granting Institutions,92295,White,51827
Fall 2002,Technology Colleges,23223,White,17517
Fall 2020,Doctoral Degree Granting Institutions,113127,White,52326
Fall 2020,Comprehensive Colleges,81181,White,50165
Fall 2020,Technology Colleges,25982,White,15283
Fall 2020,Community Colleges,173929,White,95050
Fall 2021,Doctoral Degree Granting Institutions,112239,White,50656
Fall 2021,Comprehensive Colleges,73882,White,45617
Fall 2021,Technology Colleges,23477,White,13602
Fall 2021,Community Colleges,160516,White,87871
Fall 2022,Doctoral Degree Granting Institutions,110941,White,47640
Fall 2022,Comprehensive Colleges,70297,White,43929
Fall 2022,Technology Colleges,23041,White,13041
Fall 2022,Community Colleges,159333,White,86229
Fall 2023,Doctoral Degree Granting Institutions,111057,White,46057
Fall 2023,Comprehensive Colleges,70644,White,43718
Fall 2023,Technology Colleges,23612,White,12734
Fall 2023,Community Colleges,162225,White,84921
